query_id	Q0	doc_id	rank	score	tag
1	Q0	"12438901"	1	0.20086332848417832	Keywords: 0-di...
1	Q0	"4828631"	2	0.1975382989208253	Keywords: 0-di...
1	Q0	"28633594"	3	0.18829177352906404	Keywords: 0-di...
1	Q0	"23126677"	4	0.17533999233953518	Keywords: 0-di...
1	Q0	"9764256"	5	0.17385341316615313	Keywords: 0-di...
1	Q0	"195680777"	6	0.17240462338118026	Keywords: 0-di...
1	Q0	"10608397"	7	0.16958838289409853	Keywords: 0-di...
1	Q0	"15648443"	8	0.15069726669827405	Keywords: 0-di...
1	Q0	"29387024"	9	0.13526552247812768	Keywords: 0-di...
1	Q0	"37118634"	10	0.13282247677105957	Keywords: 0-di...
1	Q0	"20471181"	11	0.12803897516032858	Keywords: 0-di...
1	Q0	"37424881"	12	0.09909739736510262	Keywords: 0-di...
1	Q0	"11880289"	13	0.09538085992029072	Keywords: 0-di...
1	Q0	"42421723"	14	0.09009386747160424	Keywords: 0-di...
1	Q0	"31543713"	15	0.08836015260056436	Keywords: 0-di...
1	Q0	"15476777"	16	0.08817853748588207	Keywords: 0-di...
1	Q0	"10607877"	17	0.08558971145054489	Keywords: 0-di...
1	Q0	"5151024"	18	0.08384601445768765	Keywords: 0-di...
1	Q0	"14682243"	19	0.08052974358192794	Keywords: 0-di...
1	Q0	"8595678"	20	0.08025438922980183	Keywords: 0-di...
1	Q0	"52072815"	21	0.07680020905355846	Keywords: 0-di...
1	Q0	"21257564"	22	0.07571497170020645	Keywords: 0-di...
1	Q0	"35008773"	23	0.07535454560140724	Keywords: 0-di...
1	Q0	"5850219"	24	0.0749964246026347	Keywords: 0-di...
1	Q0	"24273592"	25	0.07137266423657077	Keywords: 0-di...
1	Q0	"1191830"	26	0.07061195365502114	Keywords: 0-di...
1	Q0	"25404036"	27	0.07045455673349199	Keywords: 0-di...
1	Q0	"14827874"	28	0.06917080558761815	Keywords: 0-di...
1	Q0	"994800"	29	0.06882725466733383	Keywords: 0-di...
1	Q0	"13256155"	30	0.06844003856168127	Keywords: 0-di...
1	Q0	"4810810"	31	0.06804469642692985	Keywords: 0-di...
1	Q0	"12156187"	32	0.06776555281660339	Keywords: 0-di...
1	Q0	"40212412"	33	0.06589742907300523	Keywords: 0-di...
1	Q0	"13231899"	34	0.06552621465304688	Keywords: 0-di...
1	Q0	"6863070"	35	0.06360505328612517	Keywords: 0-di...
1	Q0	"9580772"	36	0.06344522577179361	Keywords: 0-di...
1	Q0	"7581911"	37	0.062143617055665394	Keywords: 0-di...
1	Q0	"18953920"	38	0.06138529863659975	Keywords: 0-di...
1	Q0	"18199839"	39	0.060771162522684406	Keywords: 0-di...
1	Q0	"10786948"	40	0.06067371481816756	Keywords: 0-di...
1	Q0	"25938221"	41	0.06066238258606732	Keywords: 0-di...
1	Q0	"37949139"	42	0.059091235106584754	Keywords: 0-di...
1	Q0	"16939583"	43	0.05889895226052593	Keywords: 0-di...
