query_id	Q0	doc_id	rank	score	tag
1	Q0	2048	1	0.20800173878805997	Keywords: "0-di...
1	Q0	928	2	0.19939882698706402	Keywords: "0-di...
1	Q0	4066	3	0.1964878038867165	Keywords: "0-di...
1	Q0	3407	4	0.1772718596589283	Keywords: "0-di...
1	Q0	1699	5	0.1763199871649766	Keywords: "0-di...
1	Q0	1810	6	0.17584047863883706	Keywords: "0-di...
1	Q0	5176	7	0.1750724511002477	Keywords: "0-di...
1	Q0	2529	8	0.15954756415449453	Keywords: "0-di...
1	Q0	4542	9	0.1431385644626011	Keywords: "0-di...
1	Q0	3059	10	0.1382546584364936	Keywords: "0-di...
1	Q0	4115	11	0.13763038870195207	Keywords: "0-di...
1	Q0	4563	12	0.10679766347372623	Keywords: "0-di...
1	Q0	1972	13	0.10296687679812418	Keywords: "0-di...
1	Q0	2502	14	0.0921451022055198	Keywords: "0-di...
1	Q0	1809	15	0.08992499082755434	Keywords: "0-di...
1	Q0	2419	16	0.08908474411712936	Keywords: "0-di...
1	Q0	977	17	0.08618047095468408	Keywords: "0-di...
1	Q0	1529	18	0.08574609423685572	Keywords: "0-di...
1	Q0	5022	19	0.07978007667791479	Keywords: "0-di...
1	Q0	1085	20	0.07956166236114384	Keywords: "0-di...
1	Q0	209	21	0.07824990339705837	Keywords: "0-di...
1	Q0	3154	22	0.07727366587435472	Keywords: "0-di...
1	Q0	4593	23	0.07565692354777086	Keywords: "0-di...
1	Q0	3565	24	0.07315272349425907	Keywords: "0-di...
1	Q0	2166	25	0.07172504928746529	Keywords: "0-di...
1	Q0	4721	26	0.07160201549093034	Keywords: "0-di...
1	Q0	924	27	0.07083377862118295	Keywords: "0-di...
1	Q0	2679	28	0.06945577583645741	Keywords: "0-di...
1	Q0	2161	29	0.06911675961684445	Keywords: "0-di...
1	Q0	1372	30	0.0684670703966332	Keywords: "0-di...
1	Q0	1838	31	0.06662520878850495	Keywords: "0-di...
1	Q0	149	32	0.06505412578168009	Keywords: "0-di...
1	Q0	4429	33	0.0649351165659947	Keywords: "0-di...
1	Q0	1204	34	0.06439730254828233	Keywords: "0-di...
1	Q0	3835	35	0.06420166418304354	Keywords: "0-di...
1	Q0	182	36	0.06408143314816189	Keywords: "0-di...
1	Q0	2816	37	0.06323665359852579	Keywords: "0-di...
1	Q0	4849	38	0.06085299046542668	Keywords: "0-di...
